State|Total Number Less Than National Payment|Total Number Same as National Payment
CA|1740|5470
GA|348|912
IA|268|700
LA|144|708
MA|104|548
PA|312|1428
VA|264|724
WA|348|568
DC|30|170
NC|460|836
SC|152|456
ID|108|208
MD|160|432
ND|72|172
SD|72|212
DE|30|144
ME|108|300
NE|92|496
NH|116|208
OH|260|1408
HI|80|80
MI|384|980
RI|20|112
VI|312|0
WI|388|972
NJ|32|372
AK|138|78
OK|184|712
AL|338|824
FL|264|1492
IL|356|1396
NM|136|212
IN|208|960
MN|256|588
TN|224|800
CO|460|1500
MO|292|804
MP|312|0
AR|116|488
OR|344|320
PR|80|148
AS|128|0
KS|136|668
MS|128|484
CT|90|680
MT|136|220
UT|76|288
VT|72|112
GU|312|0
NV|76|152
WV|148|304
TX|292|2156
KY|200|704
NY|484|1192
WY|88|128
AZ|406|590
